time, phoneme ,F1_q1, F1_q2, F1_q3, F2_q1, F2_q2,F2_q3, F3_q1, F3_q2, F3_q3
0.14,sil,819.7657933977742,922.6485915654002,819.7657933977742,1737.243089489216,1698.7548310198579,1737.243089489216,2717.313177552496,2592.9370682615686,2717.313177552496
0.14,G,1234.3472775976804,1350.0645612067287,1234.3472775976804,1602.705448145515,2114.1269473227376,1602.705448145515,2602.949451889011,3088.9124487983086,2602.949451889011
0.03999999999999998,EU,987.232558351512,329.75171281842586,987.232558351512,1362.8647020240019,1452.0708160690563,1362.8647020240019,2118.9092215660494,2678.42783034766,2118.9092215660494
0.03999999999999998,R,398.32811707485115,310.46719148201913,398.32811707485115,1351.1748577868066,1343.625451379084,1351.1748577868066,2132.3895979815684,2114.3743587541826,2132.3895979815684
0.08000000000000002,EO,527.4764092330273,636.9595413521931,527.4764092330273,1265.103099278964,1257.282330480717,1265.103099278964,2244.1602388847796,2722.391671648423,2244.1602388847796
0.12000000000000005,N,271.121595048266,287.54675281244556,271.121595048266,1527.2636932324817,619.7540045446724,1527.2636932324817,1676.0464489246485,2085.354202011133,1676.0464489246485
0.039999999999999925,D,247.02452808675847,259.31338042128084,247.02452808675847,1938.8736361343965,1727.725663167023,1938.8736361343965,2993.2100574993356,2985.7678599953088,2993.2100574993356
0.14,E,460.6501641022278,502.5058502027465,460.6501641022278,2256.083186292634,2010.6620283874374,2256.083186292634,2319.9121085898573,2311.12436917799,2319.9121085898573
0.26,I,306.48496321632865,289.5626720186856,306.48496321632865,2385.8015717460844,1221.0222510688554,2385.8015717460844,3218.3405898133738,2796.466851018979,3218.3405898133738
0.15999999999999992,A,867.2134597709196,972.2465633976169,867.2134597709196,1564.6357049966018,1447.3436807992853,1564.6357049966018,2633.0085743125032,2371.6753228359435,2633.0085743125032
0.050000000000000044,R,702.3762931616182,393.23500742516455,702.3762931616182,1542.2614828974497,1448.4156082046431,1542.2614828974497,2407.056806009082,2388.0188924803397,2407.056806009082
0.050000000000000044,EU,431.3711721910622,448.42635348631444,431.3711721910622,1391.5616151226163,1357.8723307243501,1391.5616151226163,1943.751342473164,1945.7209468829162,1943.751342473164
0.1299999999999999,M,324.63743506905337,390.50994393991687,324.63743506905337,1409.1290823406669,1618.188434467992,1409.1290823406669,2848.4466801843246,2858.7878430379205,2848.4466801843246
0.050000000000000044,D,231.43586666373548,242.18209581831672,231.43586666373548,652.9063056734975,1542.6578384102625,652.9063056734975,2042.6616471455723,2956.853998853321,2042.6616471455723
0.10000000000000009,A,820.3759429337535,892.5410672825175,820.3759429337535,1578.7119669563153,1453.9902743181513,1578.7119669563153,2239.345313643129,2707.2373040614757,2239.345313643129
0.030000000000000027,U,799.7296605845886,686.0216982687814,799.7296605845886,1169.5249728358194,1152.498318192112,1169.5249728358194,2916.5095814010892,2817.2245858576803,2916.5095814010892
0.15999999999999992,N,281.3797865281296,252.80361303764303,281.3797865281296,1586.7601134253855,853.3491998380326,1586.7601134253855,2842.4968727411137,2144.8771047655937,2842.4968727411137
0.07000000000000006,iO,390.64908135975213,412.2905888597586,390.64908135975213,2106.3038503441194,1506.0846491837706,2106.3038503441194,2611.999684976885,2578.229456875316,2611.999684976885
0.07999999999999985,NG,696.9740360087809,286.58720163343577,696.9740360087809,1839.217673473656,971.7251459016236,1839.217673473656,2830.1105797001983,2253.226599446827,2830.1105797001983
0.06000000000000005,G,246.57681476207756,249.80798425964502,246.57681476207756,705.5417932596296,1639.4805260746602,705.5417932596296,3046.6968391183364,2954.0629818292573,3046.6968391183364
0.06999999999999984,U,328.34599080667834,339.9846318525071,328.34599080667834,832.4449363139738,839.9319145138452,832.4449363139738,2817.0414546886605,2776.601859106715,2817.0414546886605
0.07000000000000028,NG,283.1462878323089,334.5872200583888,283.1462878323089,880.1316920904936,1724.4928272595646,880.1316920904936,2211.679577721503,2756.1913222650223,2211.679577721503
0.1499999999999999,E,508.6579145034107,608.3332052143506,508.6579145034107,2413.3859291875206,2294.301984212326,2413.3859291875206,2986.95752216638,3037.5868890172896,2986.95752216638
0.10999999999999988,S,1090.1908161934568,1226.1407636044448,1090.1908161934568,2239.485404375558,2124.033343868491,2239.485404375558,3182.061614432225,3260.371258123386,3182.061614432225
0.040000000000000036,EU,1739.756654964221,1045.0942261612718,1739.756654964221,2964.5736329677743,2603.1954445291867,2964.5736329677743,3938.386482553353,3515.440746607488,3938.386482553353
0.06000000000000005,L,357.12981125825684,327.01213008256616,357.12981125825684,1662.5488099814927,1562.5255465603288,1662.5488099814927,1885.6216310494044,1932.4418767689701,1885.6216310494044
0.08999999999999986,Ph,268.41523955636563,225.82272274863652,268.41523955636563,2076.0330354303824,1781.2612191818012,2076.0330354303824,3065.197566255552,2716.9287139178646,3065.197566255552
0.050000000000000266,EU,533.7033960067064,376.1363002803216,533.7033960067064,1444.2884593035408,1125.037629638458,1444.2884593035408,2459.717481487809,2673.4326515185335,2459.717481487809
0.06999999999999984,N,328.4563694653246,272.34455344722136,328.4563694653246,1371.5219843672203,1315.345417962779,1371.5219843672203,2587.711372179599,2448.287436750919,2587.711372179599
0.07000000000000028,I,358.0219520093814,353.71139560264146,358.0219520093814,2489.0974187948486,2523.32675056837,2489.0974187948486,3258.5478209192597,3194.3432544803372,3258.5478209192597
0.04999999999999982,R,316.25807552284454,332.29589798774873,316.25807552284454,2143.619137368313,2069.7733462036713,2143.619137368313,2773.1707059907303,2797.3525924581763,2773.1707059907303
0.08999999999999986,I,385.9581826343742,392.5782302682811,385.9581826343742,2435.3047721536095,2450.419470356948,2435.3047721536095,3002.8593857732308,2672.7945340237766,3002.8593857732308
0.11000000000000032,S,755.7458163115818,1012.0468735459347,755.7458163115818,2134.896292818349,2188.2846682737922,2134.896292818349,3064.090815902331,3163.9687627216526,3064.090815902331
0.04999999999999982,AE,882.3760592644661,303.673191359877,882.3760592644661,2277.3623073796316,502.2216958216769,2277.3623073796316,3032.3012463402515,2500.1008265573228,3032.3012463402515
0.06000000000000005,NG,261.4799627966578,253.35821904635216,261.4799627966578,1038.9435999463428,956.1965387774477,1038.9435999463428,2727.3283074333344,2276.2014272202964,2727.3283074333344
0.04999999999999982,G,281.8991811437833,265.63043977005515,281.8991811437833,852.8283444277723,729.7296872756594,852.8283444277723,2612.248242707892,2707.8927528375184,2612.248242707892
0.08000000000000007,iEO,451.9577968046756,583.5895363986414,451.9577968046756,1414.9171042179198,1652.8583864583466,1414.9171042179198,2186.1689542499366,1907.9459573174731,2186.1689542499366
0.08000000000000007,t,516.521823822341,493.004696539746,516.521823822341,1724.974233043006,699.9917804362179,1724.974233043006,2836.190897617919,2423.30030390187,2836.190897617919
0.04999999999999982,D,483.80913918053875,669.1823540594042,483.80913918053875,2072.121940372582,2123.688011289372,2072.121940372582,2912.4579259734223,2871.5064471852015,2912.4579259734223
0.07000000000000028,A,795.4544296458679,822.2181244575988,795.4544296458679,1677.8723493295543,1588.5625019930542,1677.8723493295543,2054.8335182609403,1749.5563759097686,2054.8335182609403
0.040000000000000036,p,631.935338063119,377.61102920554487,631.935338063119,1556.606778847088,1555.2403348299733,1556.606778847088,2585.7662807154393,2586.8520234449707,2585.7662807154393
0.09999999999999964,N,284.99313874121236,370.7856516561084,284.99313874121236,670.340280818087,1529.6064791084848,670.340280818087,1837.1133851499708,2788.9763042979866,1837.1133851499708
0.08000000000000007,I,404.64400294342516,396.886989855583,404.64400294342516,2377.828814032066,2293.788425875032,2377.828814032066,3445.058933779265,3291.422327870801,3445.058933779265
0.0900000000000003,D,336.9853952172688,218.8670874539007,336.9853952172688,2586.7233079043776,1712.7890174846245,2586.7233079043776,3315.9989926432377,2766.2509254545316,3315.9989926432377
0.23999999999999977,A,922.3431452817832,1056.8803127396807,922.3431452817832,1488.1082848472263,1433.2158213470225,1488.1082848472263,2615.4458002959122,2926.7533053521597,2615.4458002959122
0.25,sp,998.7916315368201,1084.3414238997152,998.7916315368201,1727.9211459878384,2098.135096867338,1727.9211459878384,2589.3052620117383,2912.437721405371,2589.3052620117383
0.022312499999999957,,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
